C0001,紀錄,ㄐㄧˋ ㄌㄨˋ,jìlù,記録,名詞,「紀錄」は名詞として「記録」を表す。臺灣では「紀錄」の表記を用いる。例文では量詞を伴う「一條連續的紀錄」の中心語。,明明知道它是正式的，卻無法把它的正確性說明成一條連續的紀錄。,ㄇㄧㄥˊ ㄇㄧㄥˊ ㄓ ㄉㄠˋ ㄊㄚ ㄕˋ ㄓㄥˋ ㄕˋ ㄉㄜ˙，ㄑㄩㄝˋ ㄨˊ ㄈㄚˇ ㄅㄚˇ ㄊㄚ ㄉㄜ˙ ㄓㄥˋ ㄑㄩㄝˋ ㄒㄧㄥˋ ㄕㄨㄛ ㄇㄧㄥˊ ㄔㄥˊ ㄧˋ ㄊㄧㄠˊ ㄌㄧㄢˊ ㄒㄩˋ ㄉㄜ˙ ㄐㄧˋ ㄌㄨˋ。,"Míngmíng zhīdào tā shì zhèngshì de, què wúfǎ bǎ tā de zhèngquèxìng shuōmíng chéng yì tiáo liánxù de jìlù.",正式なものだと分かっているのに、その正しさを一続きの記録として説明できない。,section12_zh-TW,memoriopolis::zh_tw::core10,明明知道＝分かっているのに｜卻無法＝しかし〜できない｜把它的正確性＝その正しさを｜說明成＝〜として説明する｜一條連續的紀錄＝一続きの記録,「明明…卻…」は、予想される結果との食い違いを表します。「把」は対象の「它的正確性」を動詞「說明」の前へ出し、どのような結果へ扱うかを示します。「成」は「〜という形に」という結果を表します。,紀錄 jìlù は「ジールー」に近く聞こえることがあります。二つとも第四声なので、各音節を高い位置から短く落とします。例文末の「的紀錄」は「ダ・ジールー」のようにつながります。カタカナは目印として使い、ㄐㄧˋ ㄌㄨˋへ戻ってください。
C0002,記憶,ㄐㄧˋ ㄧˋ,jìyì,記憶,名詞,「記憶」は名詞として「記憶」を表す。例文では「我的記憶裡」の中心語で、「裡」により記憶の内部という範囲を作る。,在我的記憶裡，它曾經是一個短得多的名字。,ㄗㄞˋ ㄨㄛˇ ㄉㄜ˙ ㄐㄧˋ ㄧˋ ㄌㄧˇ，ㄊㄚ ㄘㄥˊ ㄐㄧㄥ ㄕˋ ㄧˊ ㄍㄜ˙ ㄉㄨㄢˇ ㄉㄜ˙ ㄉㄨㄛ ㄉㄜ˙ ㄇㄧㄥˊ ㄗ˙。,"Zài wǒ de jìyì lǐ, tā céngjīng shì yí ge duǎn de duō de míngzi.",私の記憶の中では、それはずっと短い名前だった。,section12_zh-TW,memoriopolis::zh_tw::core10,在我的記憶裡＝私の記憶の中では｜它曾經是＝それはかつて〜だった｜一個名字＝一つの名前｜短得多＝ずっと短い,「在…裡」は「〜の中で」という範囲を示します。「曾經」は過去の経験や状態を表します。「短得多」は形容詞「短」の後に程度補語を置き、比較上「ずっと短い」と示します。,記憶 jìyì は「ジーイー」に近く聞こえますが、二音節とも第四声で短く落ちます。同じ母音が続いても一つに伸ばさず、jì と yì の二つを意識します。「記憶裡」は「ジーイーリー」のように聞こえることがあります。
C0003,城市,ㄔㄥˊ ㄕˋ,chéngshì,都市,名詞,「城市」は一般的な「都市・街」を表す名詞。「這座城市」では、建物や都市などに用いる量詞「座」を伴う。,這座城市保存了許多紀錄。,ㄓㄜˋ ㄗㄨㄛˋ ㄔㄥˊ ㄕˋ ㄅㄠˇ ㄘㄨㄣˊ ㄌㄜ˙ ㄒㄩˇ ㄉㄨㄛ ㄐㄧˋ ㄌㄨˋ。,Zhè zuò chéngshì bǎocún le xǔduō jìlù.,この都市は多くの記録を保存している。,MEMORIOPOLIS core,memoriopolis::zh_tw::core10,這座城市＝この都市｜保存了＝保存した／保存している｜許多紀錄＝多くの記録,「這」は「この」、「座」は都市や建物を数える量詞です。「了」はここでは保存という動作が成立したことを示します。文脈に応じて日本語では現在の保存状態を含めて訳せます。,城市 chéngshì は「チョンシー」に近く聞こえることがあります。chéngは第二声で上がり、shìは第四声で落ちます。ㄔとㄕは舌先を少し後ろへ反らせる音で、日本語の「チ」「シ」と完全には同じではありません。
C0004,通知,ㄊㄨㄥ ㄓ,tōngzhī,通知,名詞,「通知」は名詞として「通知」を表し、動詞として「通知する」にもなる。例文では量詞「封」を伴う名詞。,兩封通知，仍並列在同一個畫面上。,ㄌㄧㄤˇ ㄈㄥ ㄊㄨㄥ ㄓ，ㄖㄥˊ ㄅㄧㄥˋ ㄌㄧㄝˋ ㄗㄞˋ ㄊㄨㄥˊ ㄧˊ ㄍㄜ˙ ㄏㄨㄚˋ ㄇㄧㄢˋ ㄕㄤˋ。,"Liǎng fēng tōngzhī, réng bìngliè zài tóng yí ge huàmiàn shàng.",二つの通知は、なお同じ画面に並んでいた。,section12_zh-TW,memoriopolis::zh_tw::core10,兩封通知＝二通の通知｜仍＝なお／依然として｜並列在＝並んでいる｜同一個畫面上＝同じ画面上に,「封」は手紙や通知を数える量詞です。「仍」は状態が続いていることを示します。「在…上」は「〜の上に」という場所を表します。,通知 tōngzhī は「トンジー」に近く聞こえることがあります。二音節とも第一声で、高く平らに保ちます。zhīのㄓは舌先を後ろへ反らせるため、日本語の「ジ」より硬く聞こえます。
C0005,回覆,ㄏㄨㄟˊ ㄈㄨˋ,huífù,返信／返答,名詞・動詞,「回覆」は名詞で「返信」、動詞で「返信する・返答する」。例文では名詞として、到来した返答を表す。,回覆來了。把它打開。這是很普通的事吧？,ㄏㄨㄟˊ ㄈㄨˋ ㄌㄞˊ ㄌㄜ˙。ㄅㄚˇ ㄊㄚ ㄉㄚˇ ㄎㄞ。ㄓㄜˋ ㄕˋ ㄏㄣˇ ㄆㄨˇ ㄊㄨㄥ ㄉㄜ˙ ㄕˋ ㄅㄚ˙？,Huífù lái le. Bǎ tā dǎkāi. Zhè shì hěn pǔtōng de shì ba?,返信が来た。それを開く。ごく普通のことですよね？,section12_zh-TW,memoriopolis::zh_tw::core10,回覆來了＝返信が来た｜把它打開＝それを開く｜這是很普通的事吧＝これは普通のことですよね,「來了」は新しい状況の成立を示します。「把它打開」では「把」により対象「它」を動詞の前へ出します。文末の「吧」は、相手の同意を求める柔らかな確認です。,回覆 huífù は「ホェイフー」に近く聞こえることがあります。huíは第二声で上がり、fùは第四声で落ちます。「回覆來了」は「ホェイフー・ライラ」のようにつながって聞こえることがあります。
C0006,收件人,ㄕㄡ ㄐㄧㄢˋ ㄖㄣˊ,shōujiànrén,受取人／宛先,名詞,「收件人」は、郵便物やメッセージを受け取る人を表す。「沒有收件人的回覆」では「收件人」が「的」を介して「回覆」を説明する。,畫面上開著一個沒有收件人的回覆欄位。,ㄏㄨㄚˋ ㄇㄧㄢˋ ㄕㄤˋ ㄎㄞ ㄓㄜ˙ ㄧˊ ㄍㄜ˙ ㄇㄟˊ ㄧㄡˇ ㄕㄡ ㄐㄧㄢˋ ㄖㄣˊ ㄉㄜ˙ ㄏㄨㄟˊ ㄈㄨˋ ㄌㄢˊ ㄨㄟˋ。,Huàmiàn shàng kāizhe yí ge méiyǒu shōujiànrén de huífù lánwèi.,画面には、受取人のない返信欄が開いていた。,section12_zh-TW,memoriopolis::zh_tw::core10,畫面上＝画面上に｜開著＝開いた状態である｜一個＝一つの｜沒有收件人的＝受取人のない｜回覆欄位＝返信欄,「著」は動作後の状態が続いていることを表します。「沒有收件人的」が後ろの「回覆欄位」を修飾し、「受取人を持たない返信欄」という関係を作ります。,收件人 shōujiànrén は「ショウジェンレン」に近く聞こえることがあります。shōuは第一声、jiànは第四声、rénは第二声です。最後のrénのㄖは日本語のラ行とは異なり、舌先を後ろへ反らせます。
C0007,簽章,ㄑㄧㄢ ㄓㄤ,qiānzhāng,署名／電子署名,名詞,「簽章」は署名・押印、またはデジタル署名を表す。例文では「簽章與路徑」が並列され、確認可能な二項目を示す。,簽章與路徑都能確認，承辦人員卻沒有立刻打開它。,ㄑㄧㄢ ㄓㄤ ㄩˇ ㄌㄨˋ ㄐㄧㄥˋ ㄉㄡ ㄋㄥˊ ㄑㄩㄝˋ ㄖㄣˋ，ㄔㄥˊ ㄅㄢˋ ㄖㄣˊ ㄩㄢˊ ㄑㄩㄝˋ ㄇㄟˊ ㄧㄡˇ ㄌㄧˋ ㄎㄜˋ ㄉㄚˇ ㄎㄞ ㄊㄚ。,"Qiānzhāng yǔ lùjìng dōu néng quèrèn, chéngbàn rényuán què méiyǒu lìkè dǎkāi tā.",署名と経路はどちらも確認できたが、担当者はすぐにはそれを開かなかった。,section12_zh-TW,memoriopolis::zh_tw::core10,簽章與路徑＝署名と経路｜都能確認＝どちらも確認できる｜承辦人員＝担当者｜卻沒有立刻打開它＝しかしすぐには開かなかった,「與」は書き言葉で名詞を「〜と〜」として結びます。「都」は並列された対象の両方を受けます。「卻」は前半から予想される結果に反して、開かなかったことを示します。,簽章 qiānzhāng は「チェンジャン」に近く聞こえることがあります。二音節とも第一声です。qiānのㄑは息を強く出し、zhāngのㄓは舌先を後ろへ反らせます。日本語の「チェンジャン」はあくまで入口です。
C0008,驗證,ㄧㄢˋ ㄓㄥˋ,yànzhèng,検証／認証,名詞・動詞,「驗證」は、正しさを調べる検証や、条件を満たすことを確かめる認証を表す。例文では「外部驗證」という名詞句と「尚未驗證」という受け身的な状態の両方で現れる。,因應外部驗證開始，已暫停使用相同寄件者名稱、但尚未驗證的路徑。,ㄧㄣ ㄧㄥˋ ㄨㄞˋ ㄅㄨˋ ㄧㄢˋ ㄓㄥˋ ㄎㄞ ㄕˇ，ㄧˇ ㄗㄢˋ ㄊㄧㄥˊ ㄕˇ ㄩㄥˋ ㄒㄧㄤ ㄊㄨㄥˊ ㄐㄧˋ ㄐㄧㄢˋ ㄓㄜˇ ㄇㄧㄥˊ ㄔㄥ、ㄉㄢˋ ㄕㄤˋ ㄨㄟˋ ㄧㄢˋ ㄓㄥˋ ㄉㄜ˙ ㄌㄨˋ ㄐㄧㄥˋ。,"Yīnyìng wàibù yànzhèng kāishǐ, yǐ zàntíng shǐyòng xiāngtóng jìjiànzhě míngchēng, dàn shàngwèi yànzhèng de lùjìng.",外部検証の開始に伴い、同じ送信者名を使用しているが未検証の経路を一時停止しました。,section12_zh-TW,memoriopolis::zh_tw::core10,因應＝〜に対応して｜外部驗證開始＝外部検証の開始｜已暫停＝すでに一時停止した｜使用相同寄件者名稱＝同じ送信者名を使用する｜尚未驗證的路徑＝まだ検証されていない経路,「已」は処理がすでに行われたことを示します。「尚未」は「まだ〜していない」という書き言葉です。「尚未驗證的」が「路徑」を修飾し、未検証である対象を限定します。,驗證 yànzhèng は「イェンジェン」に近く聞こえることがあります。二音節とも第四声で短く落ちます。zhèngの韻尾-ngは「ン」で完全に閉じず、鼻へ抜ける響きを残します。
C0009,權限,ㄑㄩㄢˊ ㄒㄧㄢˋ,quánxiàn,権限,名詞,「權限」は許可された操作範囲を表す名詞。「有…的權限」で「〜する権限がある」、「權限不足」で「権限不足」となる。,這個角色有變更設定的權限。,ㄓㄜˋ ㄍㄜ˙ ㄐㄩㄝˊ ㄙㄜˋ ㄧㄡˇ ㄅㄧㄢˋ ㄍㄥ ㄕㄜˋ ㄉㄧㄥˋ ㄉㄜ˙ ㄑㄩㄢˊ ㄒㄧㄢˋ。,Zhè ge juésè yǒu biàngēng shèdìng de quánxiàn.,この役割には設定を変更する権限がある。,section12_zh-TW,memoriopolis::zh_tw::core10,這個角色＝この役割｜有＝持っている／ある｜變更設定的＝設定を変更する｜權限＝権限,「有」は所有・存在を表します。「變更設定的」が後ろの「權限」を修飾し、どの操作についての権限かを示します。日本語では「この役割には」と範囲を立てると自然です。,權限 quánxiàn は「チュエンシェン」に近く聞こえることがあります。quánは第二声で上がり、xiànは第四声で落ちます。ㄑㄩㄢˊは唇を丸めたü系の母音を含み、日本語の「チュ」とは完全には一致しません。
C0010,角色,ㄐㄩㄝˊ ㄙㄜˋ,juésè,役割／ロール,名詞,「角色」は人物の役柄と、制度・システム上のロールの双方を表す。臺灣華語では「角」をjuéと読む。,我們確認的是這個角色存在。,ㄨㄛˇ ㄇㄣ˙ ㄑㄩㄝˋ ㄖㄣˋ ㄉㄜ˙ ㄕˋ ㄓㄜˋ ㄍㄜ˙ ㄐㄩㄝˊ ㄙㄜˋ ㄘㄨㄣˊ ㄗㄞˋ。,Wǒmen quèrèn de shì zhè ge juésè cúnzài.,私たちが確認したのは、この役割が存在するということです。,section12_zh-TW,memoriopolis::zh_tw::core10,我們確認的＝私たちが確認したもの｜是＝〜である｜這個角色存在＝この役割が存在すること,「…的是…」は、確認した内容を取り出して焦点化します。「角色存在」は「役割が存在する」という節です。この文は存在だけを確認し、現在も同じ鍵を管理しているとは述べません。,角色 juésè は「ジュエスー」に近く聞こえることがあります。juéは第二声、sèは第四声です。最後のsèは日本語の「セ」より中央寄りの母音になりやすく、「スー」と「サ」の間のように聞こえる場合があります。
