C0001,記錄,きろく,記録,きろく,名詞,出来事や処理の内容を、後から確認できる形で残したもの。本文では、正しさを説明する連続した根拠という用法。,一つは、毎朝屆く見慣れた通知だつた。正規だと知つてゐるのに、その正しさを一續きの記錄として説明できない。,一つは、毎朝届く見慣れた通知だった。正規だと知っているのに、その正しさを一続きの記録として説明できない。,ひとつは、まいあさ とどく みなれた つうちだった。せいきだと しっているのに、その ただしさを ひとつづきの きろくとして せつめいできない。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「録」は旧字体で「錄」。左側の金偏は共通し、右側が「彔」になる。,「屆く」「知つてゐる」「一續き」が、現代の「届く」「知っている」「一続き」に対応する。,単なる保存物ではなく、認可や正しさを後から説明するための根拠の連鎖を指す。,表示は「記錄」だが、現代の朗読では「きろく」。旧字体によって読みは変わらない。
C0002,記憶,きおく,記憶,きおく,名詞,経験したことや知ったことが、意識の中に保持されていること。また、その内容。,私の記憶の中では、もつと短かつた名前。,私の記憶の中では、もっと短かった名前。,わたしの きおくの なかでは、もっと みじかかった なまえ。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「記憶」は、この語では新字体と旧字体の字形差が現れない。差がないこと自体が観測対象になる。,「もつと」「短かつた」が、現代の「もっと」「短かった」に対応する。,外部に残る「記録」と異なり、話者の内部に保持された過去の像を指す。,「もつと」「短かつた」と書いても、現代の朗読では「もっと」「みじかかった」と読む。
C0003,都市,とし,都市,とし,名詞,人口や機能が集中した地域。本作では物理的な市街だけでなく、制度や分類が作用する空間も含む。,「市の外を通るところは？」,「市の外を通るところは？」,しの そとを とおる ところは？,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「都市」「市」は、この例では新旧字体の差がない。,この例文には、歴史的仮名遣いによる目立った表記差がない。,都市の内側で管理権限を持つことと、都市外を通る部分にも権限を持つことを分ける問い。,表記差がないため、現代日本語と同じ音で読む。
C0004,通知,つうち,通知,つうち,名詞,必要な情報や決定事項を相手へ知らせること。また、システムから届けられる知らせ。,二つの通知は、まだ同じ畫面に並んでゐた。,二つの通知は、まだ同じ画面に並んでいた。,ふたつの つうちは、まだ おなじ がめんに ならんでいた。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「通知」は同形。「画」は旧字体で「畫」になる。,「並んでゐた」が、現代の「並んでいた」に対応する。,同じ画面に並んでいる二つの通知が、同じ仕方で信頼できるとは限らないという対比の起点。,「ゐ」は現代の朗読では「い」と読むため、「並んでいた」と発音する。
C0005,返信,へんしん,返信,へんしん,名詞・サ変動詞,受け取った連絡に返事を送ること。また、その返事。本文では返信行為そのものの権限も問題になる。,「返事が來た。それを開く。普通のことですよね」,「返事が来た。それを開く。普通のことですよね」,へんじが きた。それを ひらく。ふつうの ことですよね。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「返信」は同形。「来」は旧字体で「來」になる。,この例文では、仮名遣いの差よりも「來」の字体差が前景化する。,返信が届いたことと、それを開くこと、さらに返信する権限があることは別の問題である。,「來た」は現代の朗読では「きた」と読む。
C0006,宛先,あてさき,宛先,あてさき,名詞,手紙、通知、返信などが向けられる相手や場所。本文では返信欄が存在しても送付先が存在しない。,畫面には、宛先のない返信欄が開いてゐた。,画面には、宛先のない返信欄が開いていた。,がめんには、あてさきの ない へんしんらんが ひらいていた。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「宛先」は同形。「画面」は「畫面」になる。,「開いてゐた」が、現代の「開いていた」に対応する。,入力欄が開いていることと、誰に向けて返信するかが確定していることは同じではない。,「ゐた」は「いた」と読む。TTSには現代読みの例文を渡す。
C0007,署名,しょめい,署名,しょめい,名詞・サ変動詞,本人性や承認を示すために名前を記すこと。電子的な署名も含む。,「通知へ署名した主體と、停止を實行した主體が同じとは限りません」,「通知へ署名した主体と、停止を実行した主体が同じとは限りません」,つうちへ しょめいした しゅたいと、ていしを じっこうした しゅたいが おなじとは かぎりません。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「署名」は同形。「体」は「體」、「実」は「實」になる。,この例文では仮名遣いの差は小さく、字体差が主になる。,署名者を確認できても、別の操作を実行した主体まで同一とは限らない。,「主體」「實行」は、それぞれ現代の「しゅたい」「じっこう」と読む。
C0008,檢證,けんしょう,検証,けんしょう,名詞・サ変動詞,事実、記録、条件などを調べ、正しいかどうかを確かめること。,外部檢證の開始に伴ひ、未檢證の同名經路を一時停止しました。,外部検証の開始に伴い、未検証の同名経路を一時停止しました。,がいぶ けんしょうの かいしに ともない、みけんしょうの どうめい けいろを いちじ ていししました。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「検証」は旧字体で「檢證」。「経路」の「経」は「經」になる。,「伴ひ」が、現代の「伴い」に対応する。,検証という目的が表示されても、誰が停止し、その主体に停止権限があったかまでは保証しない。,「檢證」「經路」「伴ひ」は、現代の朗読では「けんしょう」「けいろ」「ともない」と読む。
C0009,權限,けんげん,権限,けんげん,名詞,制度や役割によって認められた、判断・操作・変更を行うことのできる範囲。,「あなたに權限があることと、畫面があなたを權限者として扱はうとしてゐることは、同じではありません」,「あなたに権限があることと、画面があなたを権限者として扱おうとしていることは、同じではありません」,あなたに けんげんが あることと、がめんが あなたを けんげんしゃとして あつかおうとしていることは、おなじでは ありません。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「権」は旧字体で「權」。「画」は「畫」になる。,「扱はう」「してゐる」が、現代の「扱おう」「している」に対応する。,実際に権限を持つことと、画面が権限者として扱おうとすることを分離する、第十二節の核心文。,「扱はう」は現代の音では「あつかおう」、「してゐる」は「している」と読む。
C0010,役割,やくわり,役割,やくわり,名詞,組織や関係の中で割り当てられた働き。システムでは権限の集合を指す場合もある。,「役割が存在することは確認しました」,「役割が存在することは確認しました」,やくわりが そんざいする ことは かくにんしました。,section12_ja_modern_japanese_draft01,memoriopolis::ja-modern::core10,「役割」「存在」「確認」は、この文では新旧字体の差が現れない。,この例文には歴史的仮名遣いによる目立った差がない。,役割が存在することの確認と、その役割が現在も同じ鍵を管理していることの確認は別である。,現代表記と同じ音で読む。差がない例も、日本語の垂直軸を観測する基準になる。
